Edge Density,a) runtime,b) runtime
0.01,2904408,604391
0.02,1618700,551904
0.03,1828141,714620
0.04,1868579,859733
0.05,1931987,987578
0.06,2046545,1244650
0.07,2031441,1326062
0.08,2121525,1765237
0.09,2241433,1731858
0.1,2304724,1999949
0.11,2382999,2290754
0.12,2491608,2435095
0.13,2495096,2798820
0.14,2566074,3046979
0.15,2714433,3768812
0.16,2696637,3911008
0.17,2825787,4459470
0.18,2879870,5507829
0.19,3103979,6625970
0.2,2973916,6097987
0.21,3043537,5973437
0.22,3063329,7220812
0.23,3087487,7110596
0.24,3264066,7778004
0.25,3239241,8491441
0.26,3296150,8908133
0.27,3351404,10159433
0.28,3600762,9437258
0.29,3611220,5577974
0.3,3743491,17534675
0.31,3716991,8294299
0.32,3699341,21514741
0.33,3864266,14973221
0.34,3829266,5382037
0.35,3743904,4347466
0.36,3820554,11382662
0.37,3855108,17462112
0.38,3829099,16575370
0.39,3867870,16694633
0.4,3968233,16423016
0.41,3973745,5343329
0.42,4036221,7044629
0.43,4027983,17422391
0.44,4054628,21940945
0.45,4159625,21210720
0.46,4092858,12587066
0.47,4169820,23776975
0.48,4145391,23827966
0.49,4160566,4769841
0.5,4143562,4842370
0.51,4175658,25011620
0.52,4133516,28394224
0.53,4194062,8985300
0.54,4166875,33615850
0.55,4089987,22684587
0.56,4074724,32348020
0.57,4132275,33043687
0.58,4137650,15112491
0.59,4136141,6562875
0.6,4061737,6187758
0.61,3993033,13090400
0.62,3892345,44876866
0.63,3876745,48467354
0.64,3855433,27927954
0.65,3777354,43394329
0.66,3757141,26213896
0.67,3743762,47182412
0.68,3603525,44999812
0.69,3620983,50768949
0.7,3506920,47499858
0.71,3537162,32218741
0.72,3454566,52541795
0.73,3365175,40104625
0.74,3341062,51868616
0.75,3262508,31190954
0.76,3229454,57804908
0.77,3264558,42495220
0.78,3134379,34947471
0.79,3092096,21628766
0.8,3056995,17810470
0.81,2989950,37398204
0.82,2895437,64121841
0.83,2921462,64433879
0.84,2796941,16571433
0.85,2749179,67693208
0.86,2688458,70578187
0.87,2666437,11054033
0.88,2560616,70149725
0.89,2515521,72861291
0.9,2438933,18363920
0.91,2372537,75536458
0.92,2294579,76518083
0.93,2204029,29995712
0.94,2114858,83299416
0.95,2102970,80395679
0.96,1938450,45333287
0.97,1887629,87064804
0.98,1754795,83282637
0.99,1663758,72277937
1,1495970,86644654